dataset,variable,score_raw,score_processed,delta_abs,spearman_raw,spearman_processed,delta_spearman_abs,mutual_info_raw,mutual_info_processed,delta_mi_abs,ranking_raw,ranking_processed,delta_ranking
madelon,feat_106,0.00048500830569769035,0.00048500830569769035,0.0,0.0009700166113953807,0.0009700166113953807,0.0,0.0,0.0,0.0,489,489,0
madelon,feat_107,0.008964086011451856,0.008964086011451856,0.0,0.016975806715935418,0.016975806715935418,0.0,0.0009523653069682947,0.0009523653069682947,0.0,300,300,0
madelon,feat_108,0.008330708450302333,0.008330708450302333,0.0,0.016661416900604666,0.016661416900604666,0.0,0.0,0.0,0.0,324,324,0
madelon,feat_109,0.013763934064203662,0.013763934064203662,0.0,0.027527868128407323,0.027527868128407323,0.0,0.0,0.0,0.0,180,180,0
madelon,feat_11,0.005562865164091563,0.005562865164091563,0.0,0.011125730328183127,0.011125730328183127,0.0,0.0,0.0,0.0,381,381,0
madelon,feat_110,0.0056584539191619175,0.0056584539191619175,0.0,0.011316907838323835,0.011316907838323835,0.0,0.0,0.0,0.0,378,378,0
madelon,feat_111,0.017545433703479198,0.017545433703479198,0.0,0.02689094895868711,0.02689094895868711,0.0,0.008199918448271282,0.008199918448271282,0.0,116,116,0
madelon,feat_112,0.010917319571710202,0.010917319571710202,0.0,0.021834639143420403,0.021834639143420403,0.0,0.0,0.0,0.0,251,251,0
madelon,feat_113,0.003411043845033498,0.003411043845033498,0.0,0.003167334931369352,0.003167334931369352,0.0,0.0036547527586976436,0.0036547527586976436,0.0,432,432,0
madelon,feat_114,0.015335219242827842,0.015335219242827842,0.0,0.02691717379212625,0.02691717379212625,0.0,0.0037532646935294345,0.0037532646935294345,0.0,146,146,0
madelon,feat_115,0.009231387993776452,0.009231387993776452,0.0,0.005397148363808268,0.005397148363808268,0.0,0.013065627623744636,0.013065627623744636,0.0,290,290,0
madelon,feat_116,0.015341514869614502,0.015341514869614502,0.0,0.030683029739229005,0.030683029739229005,0.0,0.0,0.0,0.0,145,145,0
madelon,feat_117,0.012306160921935977,0.012306160921935977,0.0,0.024612321843871954,0.024612321843871954,0.0,0.0,0.0,0.0,209,209,0
madelon,feat_118,0.004331297583692663,0.004331297583692663,0.0,0.008662595167385326,0.008662595167385326,0.0,0.0,0.0,0.0,412,412,0
madelon,feat_119,0.02234805044562851,0.02234805044562851,0.0,0.04469610089125702,0.04469610089125702,0.0,0.0,0.0,0.0,62,62,0
madelon,feat_12,0.01302990655444504,0.01302990655444504,0.0,0.02605981310889008,0.02605981310889008,0.0,0.0,0.0,0.0,194,194,0
