dataset,componente,varianza_explicada,varianza_acumulada,n_variables_pca,n_filas_pca
madelon,69,0.003271292081578937,0.2802090764677058,500,2000
madelon,70,0.003259605087966452,0.2834686815556723,500,2000
madelon,71,0.003247013522258675,0.286715695077931,500,2000
madelon,72,0.0032415718557148336,0.2899572669336458,500,2000
madelon,73,0.003230833732672639,0.29318810066631845,500,2000
madelon,74,0.003225028826712866,0.29641312949303134,500,2000
madelon,75,0.0032093299604676238,0.29962245945349897,500,2000
madelon,76,0.003189304918539824,0.30281176437203877,500,2000
madelon,77,0.003172772366923049,0.3059845367389618,500,2000
madelon,78,0.003166734126327144,0.30915127086528893,500,2000
madelon,79,0.003156125147080943,0.3123073960123699,500,2000
madelon,80,0.0031524986279262944,0.31545989464029617,500,2000
madelon,81,0.0031410821372789203,0.3186009767775751,500,2000
madelon,82,0.0031254636376546784,0.3217264404152298,500,2000
madelon,83,0.0031161456385367355,0.32484258605376654,500,2000
madelon,84,0.003095991741426366,0.3279385777951929,500,2000
madelon,85,0.0030819429582610997,0.331020520753454,500,2000
madelon,86,0.0030779226619343427,0.33409844341538836,500,2000
madelon,87,0.003074704552372103,0.33717314796776043,500,2000
madelon,88,0.0030723315997986875,0.34024547956755913,500,2000
madelon,89,0.003054938308675389,0.3433004178762345,500,2000
madelon,90,0.0030420442743022127,0.3463424621505367,500,2000
madelon,91,0.003031983467498525,0.3493744456180352,500,2000
madelon,92,0.0030316330998432068,0.35240607871787843,500,2000
madelon,93,0.0030267076284932895,0.3554327863463717,500,2000
madelon,94,0.0030197662003209644,0.35845255254669267,500,2000
madelon,95,0.003010341907589379,0.36146289445428204,500,2000
madelon,96,0.002991985146983136,0.36445487960126516,500,2000
madelon,97,0.002967919773216476,0.36742279937448163,500,2000
madelon,98,0.0029655160606359083,0.3703883154351175,500,2000
madelon,99,0.0029599163561772994,0.37334823179129484,500,2000
madelon,100,0.0029484723005332863,0.37629670409182814,500,2000
madelon,101,0.0029333235358511177,0.37923002762767927,500,2000
madelon,102,0.00293041520355416,0.3821604428312334,500,2000
madelon,103,0.0029020269438353574,0.38506246977506875,500,2000
madelon,104,0.002897552765742323,0.3879600225408111,500,2000
madelon,105,0.002894534688820519,0.3908545572296316,500,2000
madelon,106,0.0028834801020748827,0.3937380373317065,500,2000
madelon,107,0.0028774993849717797,0.39661553671667826,500,2000
madelon,108,0.0028676823125974495,0.3994832190292757,500,2000
madelon,109,0.0028585340449021014,0.4023417530741778,500,2000
madelon,110,0.0028554872605909202,0.4051972403347687,500,2000
madelon,111,0.002849060733368526,0.4080463010681373,500,2000
madelon,112,0.0028372132283465386,0.4108835142964838,500,2000
madelon,113,0.002826568921498863,0.41371008321798264,500,2000
madelon,114,0.0028194907394176313,0.41652957395740026,500,2000
madelon,115,0.0028119401904124707,0.41934151414781273,500,2000
madelon,116,0.0028018952080040424,0.4221434093558168,500,2000
madelon,117,0.002784009645684376,0.42492741900150116,500,2000
madelon,118,0.002769819246390931,0.4276972382478921,500,2000
madelon,119,0.002764330421924766,0.43046156866981683,500,2000
madelon,120,0.002758584584790261,0.4332201532546071,500,2000
