dataset,method,k,full_mean_abs_corr,selected_mean_abs_corr,full_max_abs_corr,selected_max_abs_corr,full_high_corr_pairs,selected_high_corr_pairs,n_selected_features
madelon,l1_logistic,50,0.021710417448080326,0.0213475621664121,0.9961024342799284,0.4631459834522151,12,0,50
madelon,linear_svm,5,0.021710417448080326,0.2849316930415888,0.9961024342799284,0.9896574222768306,12,1,5
madelon,linear_svm,10,0.021710417448080326,0.10627574750529259,0.9961024342799284,0.9896574222768306,12,1,10
madelon,linear_svm,15,0.021710417448080326,0.07537141191952705,0.9961024342799284,0.9909793357470833,12,2,15
madelon,linear_svm,20,0.021710417448080326,0.06506672072692052,0.9961024342799284,0.9909793357470833,12,2,20
madelon,linear_svm,22,0.021710417448080326,0.056143525036816994,0.9961024342799284,0.9909793357470833,12,2,22
madelon,linear_svm,30,0.021710417448080326,0.04488213875980791,0.9961024342799284,0.9909793357470833,12,3,30
madelon,linear_svm,50,0.021710417448080326,0.03676740977404681,0.9961024342799284,0.9941500047293815,12,5,50
madelon,mrmr_approx,5,0.021710417448080326,0.007520046692348107,0.9961024342799284,0.023032801240171867,12,0,5
madelon,mrmr_approx,10,0.021710417448080326,0.014938517751965292,0.9961024342799284,0.07238480293222524,12,0,10
madelon,mrmr_approx,15,0.021710417448080326,0.01689542426955247,0.9961024342799284,0.07238480293222524,12,0,15
madelon,mrmr_approx,20,0.021710417448080326,0.017836636534509714,0.9961024342799284,0.07238480293222524,12,0,20
madelon,mrmr_approx,22,0.021710417448080326,0.01790917335219086,0.9961024342799284,0.07238480293222524,12,0,22
madelon,mrmr_approx,30,0.021710417448080326,0.018937189307677845,0.9961024342799284,0.07238480293222524,12,0,30
madelon,mrmr_approx,50,0.021710417448080326,0.021237645166923825,0.9961024342799284,0.32991745089146707,12,0,50
madelon,mutual_info,5,0.021710417448080326,0.02739353835437051,0.9961024342799284,0.07238480293222524,12,0,5
madelon,mutual_info,10,0.021710417448080326,0.060748997752673055,0.9961024342799284,0.9909302903684272,12,1,10
madelon,mutual_info,15,0.021710417448080326,0.03945494207290664,0.9961024342799284,0.9909302903684272,12,1,15
madelon,mutual_info,20,0.021710417448080326,0.03978100735498775,0.9961024342799284,0.9909302903684272,12,1,20
madelon,mutual_info,22,0.021710417448080326,0.03716682177871853,0.9961024342799284,0.9909302903684272,12,1,22
madelon,mutual_info,30,0.021710417448080326,0.029197638351009234,0.9961024342799284,0.9909302903684272,12,1,30
madelon,mutual_info,50,0.021710417448080326,0.025457506405871265,0.9961024342799284,0.9909302903684272,12,1,50
madelon,random_forest,5,0.021710417448080326,0.5919132609748232,0.9961024342799284,0.9909302903684272,12,1,5
madelon,random_forest,10,0.021710417448080326,0.43421128020931476,0.9961024342799284,0.9961024342799284,12,4,10
madelon,random_forest,15,0.021710417448080326,0.3379664954789371,0.9961024342799284,0.9961024342799284,12,6,15
madelon,random_forest,20,0.021710417448080326,0.2847924454723444,0.9961024342799284,0.9961024342799284,12,12,20
madelon,random_forest,22,0.021710417448080326,0.23778696126610252,0.9961024342799284,0.9961024342799284,12,12,22
madelon,random_forest,30,0.021710417448080326,0.1454209147939371,0.9961024342799284,0.9961024342799284,12,12,30
madelon,random_forest,50,0.021710417448080326,0.06558997205967858,0.9961024342799284,0.9961024342799284,12,12,50
madelon,variance,5,0.021710417448080326,0.021874725782561142,0.9961024342799284,0.03883146018213361,12,0,5
madelon,variance,10,0.021710417448080326,0.0240572131603592,0.9961024342799284,0.06315170317180734,12,0,10
madelon,variance,15,0.021710417448080326,0.031500827135073343,0.9961024342799284,0.4631459834522151,12,0,15
madelon,variance,20,0.021710417448080326,0.027407706026163374,0.9961024342799284,0.4631459834522151,12,0,20
madelon,variance,22,0.021710417448080326,0.026397638205049524,0.9961024342799284,0.4631459834522151,12,0,22
madelon,variance,30,0.021710417448080326,0.02413693474738232,0.9961024342799284,0.4631459834522151,12,0,30
madelon,variance,50,0.021710417448080326,0.02268831030122949,0.9961024342799284,0.4631459834522151,12,0,50
olive_oil_3class,f_classif,3,0.3302233636785095,0.4758701130942667,0.8689769696733038,0.8442714929733717,1,0,3
olive_oil_3class,f_classif,5,0.3302233636785095,0.5986367651165782,0.8689769696733038,0.8689769696733038,1,1,5
olive_oil_3class,f_classif,8,0.3302233636785095,0.3302233636785094,0.8689769696733038,0.8689769696733038,1,1,8
olive_oil_3class,l1_logistic,3,0.3302233636785095,0.17293091498774238,0.8689769696733038,0.22456688745780065,1,0,3
olive_oil_3class,l1_logistic,5,0.3302233636785095,0.3472102252057776,0.8689769696733038,0.8116864084965434,1,0,5
olive_oil_3class,l1_logistic,8,0.3302233636785095,0.3302233636785094,0.8689769696733038,0.8689769696733038,1,1,8
olive_oil_3class,linear_svm,3,0.3302233636785095,0.36807539000040695,0.8689769696733038,0.49353668058231703,1,0,3
olive_oil_3class,linear_svm,5,0.3302233636785095,0.5986367651165783,0.8689769696733038,0.8689769696733038,1,1,5
olive_oil_3class,linear_svm,8,0.3302233636785095,0.3302233636785094,0.8689769696733038,0.8689769696733038,1,1,8
olive_oil_3class,mrmr_approx,3,0.3302233636785095,0.11186372748732087,0.8689769696733038,0.1340535565483836,1,0,3
olive_oil_3class,mrmr_approx,5,0.3302233636785095,0.24640925257419805,0.8689769696733038,0.6481164164034944,1,0,5
