dataset,method,k,seed_a,seed_b,kuncheva
madelon,random_forest,5,13,42,1.0
madelon,random_forest,5,13,97,1.0
madelon,random_forest,5,42,97,1.0
madelon,random_forest,10,13,42,1.0
madelon,random_forest,10,13,97,0.8979591836734694
madelon,random_forest,10,42,97,0.8979591836734694
madelon,random_forest,15,13,42,0.8625429553264605
madelon,random_forest,15,13,97,0.8625429553264605
madelon,random_forest,15,42,97,0.7938144329896907
madelon,random_forest,20,13,42,0.9479166666666666
madelon,random_forest,20,13,97,1.0
madelon,random_forest,20,42,97,0.9479166666666666
madelon,random_forest,22,13,42,0.9049068086724991
madelon,random_forest,22,13,97,0.9049068086724991
madelon,random_forest,22,42,97,0.9049068086724991
madelon,random_forest,30,13,42,0.7872340425531915
madelon,random_forest,30,13,97,0.7872340425531915
madelon,random_forest,30,42,97,0.7163120567375887
madelon,random_forest,50,13,42,0.5555555555555556
madelon,random_forest,50,13,97,0.5111111111111111
madelon,random_forest,50,42,97,0.6
madelon,variance,5,13,42,1.0
madelon,variance,5,13,97,1.0
madelon,variance,5,42,97,1.0
madelon,variance,10,13,42,1.0
madelon,variance,10,13,97,1.0
madelon,variance,10,42,97,1.0
madelon,variance,15,13,42,1.0
madelon,variance,15,13,97,1.0
madelon,variance,15,42,97,1.0
madelon,variance,20,13,42,1.0
madelon,variance,20,13,97,1.0
madelon,variance,20,42,97,1.0
madelon,variance,22,13,42,1.0
madelon,variance,22,13,97,1.0
madelon,variance,22,42,97,1.0
madelon,variance,30,13,42,1.0
madelon,variance,30,13,97,1.0
madelon,variance,30,42,97,1.0
madelon,variance,50,13,42,1.0
madelon,variance,50,13,97,1.0
madelon,variance,50,42,97,1.0
olive_oil_3class,f_classif,3,13,42,1.0
olive_oil_3class,f_classif,3,13,97,1.0
olive_oil_3class,f_classif,3,42,97,1.0
olive_oil_3class,f_classif,5,13,42,1.0
olive_oil_3class,f_classif,5,13,97,1.0
olive_oil_3class,f_classif,5,42,97,1.0
olive_oil_3class,f_classif,8,13,42,
olive_oil_3class,f_classif,8,13,97,
olive_oil_3class,f_classif,8,42,97,
olive_oil_3class,l1_logistic,3,13,42,1.0
olive_oil_3class,l1_logistic,3,13,97,1.0
olive_oil_3class,l1_logistic,3,42,97,1.0
olive_oil_3class,l1_logistic,5,13,42,1.0
olive_oil_3class,l1_logistic,5,13,97,1.0
olive_oil_3class,l1_logistic,5,42,97,1.0
olive_oil_3class,l1_logistic,8,13,42,
olive_oil_3class,l1_logistic,8,13,97,
olive_oil_3class,l1_logistic,8,42,97,
olive_oil_3class,linear_svm,3,13,42,1.0
olive_oil_3class,linear_svm,3,13,97,1.0
olive_oil_3class,linear_svm,3,42,97,1.0
olive_oil_3class,linear_svm,5,13,42,1.0
olive_oil_3class,linear_svm,5,13,97,1.0
olive_oil_3class,linear_svm,5,42,97,1.0
olive_oil_3class,linear_svm,8,13,42,
olive_oil_3class,linear_svm,8,13,97,
olive_oil_3class,linear_svm,8,42,97,
olive_oil_3class,mrmr_approx,3,13,42,1.0
olive_oil_3class,mrmr_approx,3,13,97,1.0
olive_oil_3class,mrmr_approx,3,42,97,1.0
olive_oil_3class,mrmr_approx,5,13,42,0.4666666666666667
olive_oil_3class,mrmr_approx,5,13,97,0.4666666666666667
olive_oil_3class,mrmr_approx,5,42,97,1.0
olive_oil_3class,mrmr_approx,8,13,42,
olive_oil_3class,mrmr_approx,8,13,97,
olive_oil_3class,mrmr_approx,8,42,97,
olive_oil_3class,mutual_info,3,13,42,1.0
olive_oil_3class,mutual_info,3,13,97,1.0
olive_oil_3class,mutual_info,3,42,97,1.0
olive_oil_3class,mutual_info,5,13,42,0.4666666666666667
olive_oil_3class,mutual_info,5,13,97,0.4666666666666667
olive_oil_3class,mutual_info,5,42,97,1.0
olive_oil_3class,mutual_info,8,13,42,
olive_oil_3class,mutual_info,8,13,97,
olive_oil_3class,mutual_info,8,42,97,
olive_oil_3class,random_forest,3,13,42,1.0
olive_oil_3class,random_forest,3,13,97,1.0
olive_oil_3class,random_forest,3,42,97,1.0
olive_oil_3class,random_forest,5,13,42,1.0
olive_oil_3class,random_forest,5,13,97,1.0
