experiment_id,dataset,feature_set,model_name,feature,mean_abs_shap,rank,n_validation_explained,n_validation_available,raw_values_path,feature_values_path,shap_value_shape,output_labels
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,compactness_worst,0.0020623006263284483,22,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,area_worst,1.353032436025931,1,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,texture_worst,1.2004091167070847,2,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,radius_worst,1.1436992413450358,3,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,concave_points_worst,1.1347042087082584,4,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,concave_points_mean,0.9074910513647719,5,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,concavity_worst,0.6013777579441665,6,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,area_se,0.45005175951065707,7,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,perimeter_worst,0.36387225583809263,8,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,radius_se,0.31001510777894187,9,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,xgboost,concavity_mean,0.23234631126450697,10,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__linear_svm_k10__xgboost.csv,85x10,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,support_calls,3.638213288922782,1,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,total_spend,2.2787723072126087,2,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,age,2.275304991670132,3,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
