dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__feat_241,density__feat_43,density__feat_311,density__feat_154,density__feat_139,density__feat_31,density__feat_205,density__feat_147,density__feat_368,density__feat_459,density__feat_30,density__feat_346,density__feat_211,density__feat_486,density__feat_295,density__feat_66,density__feat_431,density__feat_75,density__feat_85,density__feat_42
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.599285798504436,1,11010000000110111010,feat_241|feat_43|feat_154|feat_346|feat_211|feat_295|feat_66|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.607702649145537,1,11010000001110110010,feat_241|feat_43|feat_154|feat_30|feat_346|feat_211|feat_295|feat_66|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.64056246686609,2,11110100000010100011,feat_241|feat_43|feat_311|feat_154|feat_31|feat_211|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.646770703380124,1,11110100000100101010,feat_241|feat_43|feat_311|feat_154|feat_31|feat_346|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.659880598761749,1,11100100000110101011,feat_241|feat_43|feat_311|feat_31|feat_346|feat_211|feat_295|feat_431|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.667606549310925,2,11110100000010101010,feat_241|feat_43|feat_311|feat_154|feat_31|feat_211|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.716267371977898,1,11110000001010100011,feat_241|feat_43|feat_311|feat_154|feat_30|feat_211|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.733243690519526,1,11110000001010001011,feat_241|feat_43|feat_311|feat_154|feat_30|feat_211|feat_431|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.75678562406727,1,11110101000100000011,feat_241|feat_43|feat_311|feat_154|feat_31|feat_147|feat_346|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.812367972201285,1,11110001000110110000,feat_241|feat_43|feat_311|feat_154|feat_147|feat_346|feat_211|feat_295|feat_66,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.819854845363661,1,11110001000001101010,feat_241|feat_43|feat_311|feat_154|feat_147|feat_486|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.828805142763436,1,11100101001010100011,feat_241|feat_43|feat_311|feat_31|feat_147|feat_30|feat_211|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.833325752815036,4,11110101000010100010,feat_241|feat_43|feat_311|feat_154|feat_31|feat_147|feat_211|feat_295|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.846232421774888,1,11110001000001100011,feat_241|feat_43|feat_311|feat_154|feat_147|feat_486|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.86311564897539,2,11000110100110000011,feat_241|feat_43|feat_31|feat_205|feat_368|feat_346|feat_211|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.875460058167782,1,11100001001110100011,feat_241|feat_43|feat_311|feat_147|feat_30|feat_346|feat_211|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.886042685588919,1,11110001000010101010,feat_241|feat_43|feat_311|feat_154|feat_147|feat_211|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.888911153912147,1,11001011001001100001,feat_241|feat_43|feat_139|feat_205|feat_147|feat_30|feat_486|feat_295|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.893429425090941,1,11000110000110101010,feat_241|feat_43|feat_31|feat_205|feat_346|feat_211|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.89764594775077,1,11010101010010100001,feat_241|feat_43|feat_154|feat_31|feat_147|feat_459|feat_211|feat_295|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.913354285435924,1,11010001010010101010,feat_241|feat_43|feat_154|feat_147|feat_459|feat_211|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.924319937546343,1,11000111000010001011,feat_241|feat_43|feat_31|feat_205|feat_147|feat_211|feat_431|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.925109220882838,1,11110001000100100011,feat_241|feat_43|feat_311|feat_154|feat_147|feat_346|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.938484952999271,1,11000011000110100011,feat_241|feat_43|feat_205|feat_147|feat_346|feat_211|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,8.940196057324956,1,11010100100100100011,feat_241|feat_43|feat_154|feat_31|feat_368|feat_346|feat_295|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
