dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__concave_points_worst,density__smoothness_se,density__texture_worst,density__concave_points_mean,density__radius_worst,density__symmetry_worst,density__radius_mean,density__fractal_dimension_se,density__perimeter_worst,density__texture_se,density__concavity_mean,density__perimeter_mean,density__symmetry_se,density__smoothness_worst,density__area_worst,density__texture_mean,density__concavity_worst,density__area_mean,density__fractal_dimension_worst,density__symmetry_mean
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.871828666382505,1,00111011101101101100,texture_worst|concave_points_mean|radius_worst|radius_mean|fractal_dimension_se|perimeter_worst|concavity_mean|perimeter_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.877364221811817,1,11101010101101101100,concave_points_worst|smoothness_se|texture_worst|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.901713502216092,1,10011110100100111100,concave_points_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|perimeter_worst|perimeter_mean|area_worst|texture_mean|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.927113800524431,1,11001010101101111100,concave_points_worst|smoothness_se|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.967763341170027,1,01111010101100101101,smoothness_se|texture_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean|symmetry_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.975258649910646,3,10111110101101101000,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|smoothness_worst|area_worst|concavity_worst,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.977662554146516,1,10111010101111001100,concave_points_worst|texture_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|symmetry_se|smoothness_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,12.003569457637525,1,10011010100101111100,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|perimeter_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,12.00852029237764,1,01111010101100101110,smoothness_se|texture_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean|fractal_dimension_worst,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,12.040000188692192,2,10101110101101101100,concave_points_worst|texture_worst|radius_worst|symmetry_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
