block,dataset,feature_set,model_name,seed,n_features,n_test,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_gap,train_val_gap,fit_seconds,predict_seconds_test,predict_us_per_sample,n_features_baseline,feature_reduction_ratio
cuantico,madelon,qfs_na,logistic_regression,233,10,300,0.594282402305325,0.5694211106042568,0.6365657126979717,-0.042283310392646656,0.02486129170106821,0.0020017148926854134,0.0005455389618873596,1.8184632062911987,500,0.98
cuantico,madelon,qfs_na,linear_svm,20260607,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.001788257621228695,0.0005385959520936012,1.795319840312004,500,0.98
cuantico,madelon,qfs_na,linear_svm,1,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.001782052218914032,0.0005385102704167366,1.7950342347224555,500,0.98
cuantico,madelon,qfs_na,linear_svm,7,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.001769891008734703,0.0005350690335035324,1.7835634450117746,500,0.98
cuantico,madelon,qfs_na,linear_svm,13,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.0017791138961911201,0.0005342932417988777,1.7809774726629257,500,0.98
cuantico,madelon,qfs_na,linear_svm,21,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.0017262259498238564,0.0005408516153693199,1.802838717897733,500,0.98
cuantico,madelon,qfs_na,linear_svm,34,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.001809663139283657,0.0005359463393688202,1.7864877978960674,500,0.98
cuantico,madelon,qfs_na,linear_svm,55,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.0017619719728827477,0.0005322769284248352,1.774256428082784,500,0.98
cuantico,madelon,qfs_na,linear_svm,89,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.0017487099394202232,0.000536828301846981,1.7894276728232703,500,0.98
cuantico,madelon,qfs_na,linear_svm,144,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.0017684008926153183,0.000539097934961319,1.79699311653773,500,0.98
cuantico,madelon,qfs_na,linear_svm,233,10,300,0.594998140297583,0.5728587319243603,0.6398559423769508,-0.04485780207936774,0.022139408373222702,0.001758284866809845,0.0005318578332662582,1.7728594442208607,500,0.98
cuantico,madelon,qfs_na,random_forest,20260607,10,300,0.8199764867247967,0.5730297100160113,0.6032231175326479,0.21675336919214883,0.2469467767087854,0.279579465277493,0.045777615159749985,152.59205053249997,500,0.98
cuantico,madelon,qfs_na,random_forest,1,10,300,0.8221355066204266,0.5564251648119531,0.6499961110679008,0.17213939555252578,0.2657103418084734,0.3406600710004568,0.04601573199033737,153.38577330112457,500,0.98
cuantico,madelon,qfs_na,random_forest,7,10,300,0.8099685866439146,0.576661962910699,0.6163213558869649,0.19364723075694967,0.23330662373321553,0.32941504288464785,0.02617006655782461,87.23355519274871,500,0.98
cuantico,madelon,qfs_na,random_forest,13,10,300,0.798406862745098,0.5965545984995833,0.6198479391756703,0.1785589235694277,0.20185226424551472,0.33317541517317295,0.036924948915839195,123.08316305279733,500,0.98
cuantico,madelon,qfs_na,random_forest,21,10,300,0.7971014492753623,0.5832916624995833,0.6498093406410157,0.1472921086343466,0.213809786775779,0.36103122495114803,0.045169681310653687,150.5656043688456,500,0.98
cuantico,madelon,qfs_na,random_forest,34,10,300,0.807086164097204,0.592880978865406,0.6164578492734933,0.19062831482371068,0.214205185231798,0.3232732554897666,0.04499740805476904,149.99136018256348,500,0.98
cuantico,madelon,qfs_na,random_forest,55,10,300,0.8042601482642631,0.5132467994310099,0.6060363247863247,0.19822382347793832,0.29101334883325314,0.326496840454638,0.04579873289912939,152.66244299709797,500,0.98
cuantico,madelon,qfs_na,random_forest,89,10,300,0.8099903056278381,0.5866666666666667,0.6333333333333333,0.17665697229450483,0.22332363896117147,0.3493501739576459,0.045922896824777126,153.0763227492571,500,0.98
cuantico,madelon,qfs_na,random_forest,144,10,300,0.8199908158579519,0.5596868884540117,0.6129032258064516,0.20708759005150024,0.26030392740394015,0.32130421977490187,0.04324190132319927,144.13967107733092,500,0.98
cuantico,madelon,qfs_na,random_forest,233,10,300,0.8135370851468051,0.5566617406860076,0.653271692745377,0.16026539240142812,0.2568753444607975,0.34934842120856047,0.024978984147310257,83.26328049103418,500,0.98
cuantico,madelon,qfs_na,xgboost,20260607,10,300,0.9928571428571429,0.5453735068639687,0.592880978865406,0.39997616399173685,0.4474836359931742,0.12081343773752451,0.0010534022003412247,3.5113406678040824,500,0.98
cuantico,madelon,qfs_na,xgboost,1,10,300,0.990714280976674,0.5599217638691323,0.5997153531400107,0.39099892783666335,0.43079251710754174,0.039349108934402466,0.0010695094242691994,3.5650314142306643,500,0.98
cuantico,madelon,qfs_na,xgboost,7,10,300,0.9907141672725417,0.5386878231413799,0.6130581747020103,0.3776559925705314,0.45202634413116183,0.0394023647531867,0.001071518287062645,3.5717276235421496,500,0.98
cuantico,madelon,qfs_na,xgboost,13,10,300,0.9957142507285774,0.5189523851944234,0.6020554892933977,0.39365876143517975,0.476761865534154,0.03917049430310726,0.0010680025443434715,3.560008481144905,500,0.98
cuantico,madelon,qfs_na,xgboost,21,10,300,0.9971428571428571,0.5517195236183594,0.5797011207970113,0.4174417363458458,0.4454233335244977,0.040177411399781704,0.0010769544169306755,3.589848056435585,500,0.98
cuantico,madelon,qfs_na,xgboost,34,10,300,0.9942857026238829,0.5456772526836221,0.5993589743589745,0.3949267282649085,0.44860844994026083,0.039687481708824635,0.0010717380791902542,3.572460263967514,500,0.98
cuantico,madelon,qfs_na,xgboost,55,10,300,0.9914285014571548,0.54995499549955,0.5793269230769231,0.41210157838023165,0.4414735059576048,0.03945266082882881,0.0010690335184335709,3.563445061445236,500,0.98
cuantico,madelon,qfs_na,xgboost,89,10,300,0.987856641014246,0.5627454689081988,0.5663582992350116,0.4214983417792344,0.4251111721060472,0.04863524716347456,0.001070900820195675,3.5696694006522494,500,0.98
cuantico,madelon,qfs_na,xgboost,144,10,300,0.992857084547629,0.5464852607709751,0.5865012671735361,0.4063558173740929,0.44637182377665385,0.03997839242219925,0.00106916856020689,3.563895200689634,500,0.98
cuantico,madelon,qfs_na,xgboost,233,10,300,0.9914285714285714,0.5495946351716545,0.5965545984995833,0.3948739729289882,0.4418339362569169,0.040347153320908546,0.0010744985193014145,3.581661731004715,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,20260607,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0023779096081852913,0.0005355477333068848,1.7851591110229492,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,1,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0019991183653473854,0.0005471948534250259,1.8239828447500865,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,7,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.002034451812505722,0.0005414336919784546,1.8047789732615152,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,13,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.00201489869505167,0.000542839989066124,1.8094666302204132,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,21,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0020125629380345345,0.000541425310075283,1.8047510335842767,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,34,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0020565446466207504,0.0005452018231153488,1.817339410384496,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,55,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.001994367688894272,0.0005442192777991295,1.8140642593304315,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,89,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0019992394372820854,0.0005445387214422226,1.8151290714740753,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,144,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0019839508458971977,0.0005412669852375984,1.804223284125328,500,0.98
cuantico,madelon,qfs_oracle,logistic_regression,233,10,300,0.60211829403754,0.576549041400389,0.6399839992888572,-0.03786570525131716,0.02556925263715104,0.0021207379177212715,0.0005459878593683243,1.8199595312277477,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,20260607,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.0017845602706074715,0.0005388092249631882,1.7960307498772938,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,1,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.001807299442589283,0.0005365945398807526,1.788648466269175,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,7,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.001752551645040512,0.0005305344238877296,1.7684480796257653,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,13,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.001782371662557125,0.0005328375846147537,1.776125282049179,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,21,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.0017191655933856964,0.000536319799721241,1.78773266573747,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,34,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.001705891452729702,0.0005297847092151642,1.765949030717214,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,55,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.0017054984346032143,0.0005370695143938065,1.7902317146460216,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,89,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.0017241081222891808,0.0005374541506171227,1.7915138353904088,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,144,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.0017194543033838272,0.0005361195653676987,1.7870652178923288,500,0.98
cuantico,madelon,qfs_oracle,linear_svm,233,10,300,0.599970610085639,0.576549041400389,0.6432976630996432,-0.04332705301400419,0.023421568685250027,0.001796802505850792,0.0005376012995839119,1.792004331946373,500,0.98
cuantico,madelon,qfs_oracle,random_forest,20260607,10,300,0.8092692686257131,0.5533333333333333,0.6127136752136753,0.19655559341203788,0.2559359352923798,0.3118525380268693,0.045728602446615696,152.42867482205233,500,0.98
cuantico,madelon,qfs_oracle,random_forest,1,10,300,0.8135294727027866,0.541862201959626,0.6130581747020103,0.20047129800077634,0.27166727074316066,0.35554214380681515,0.044654966332018375,148.84988777339458,500,0.98
cuantico,madelon,qfs_oracle,random_forest,7,10,300,0.799240543407981,0.5630954630854577,0.6262513904338154,0.17298915297416562,0.23614508032252335,0.3506489088758826,0.04585499595850706,152.84998652835688,500,0.98
cuantico,madelon,qfs_oracle,random_forest,13,10,300,0.7949990586691469,0.5565434843011947,0.5933152584559314,0.20168380021321552,0.23845557436795217,0.33327158633619547,0.03914333041757345,130.4777680585782,500,0.98
cuantico,madelon,qfs_oracle,random_forest,21,10,300,0.7985566286502681,0.5732574679943101,0.6166624073600818,0.1818942212901863,0.225299160655958,0.3283427208662033,0.046118355356156826,153.72785118718943,500,0.98
cuantico,madelon,qfs_oracle,random_forest,34,10,300,0.8135439358150258,0.5664932639722555,0.5731625983726825,0.24038133744234336,0.2470506718427703,0.34705771319568157,0.04622414708137512,154.0804902712504,500,0.98
cuantico,madelon,qfs_oracle,random_forest,55,10,300,0.7914179294861983,0.5565434843011947,0.609474960780605,0.18194296870559323,0.23487444518500356,0.32363505009561777,0.037632593885064125,125.4419796168804,500,0.98
cuantico,madelon,qfs_oracle,random_forest,89,10,300,0.8006775737776193,0.5699952221691351,0.6133333333333333,0.187344240444286,0.23068235160848416,0.35037728771567345,0.014109889045357704,47.03296348452568,500,0.98
cuantico,madelon,qfs_oracle,random_forest,144,10,300,0.8156687671853662,0.5659722222222223,0.605544660367267,0.21012410681809923,0.24969654496314386,0.32665845192968845,0.034383488819003105,114.61162939667702,500,0.98
cuantico,madelon,qfs_oracle,random_forest,233,10,300,0.7978487886489187,0.5332503556187767,0.6298971936649069,0.1679515949840118,0.2645984330301421,0.3496127910912037,0.03500837832689285,116.69459442297618,500,0.98
cuantico,madelon,qfs_oracle,xgboost,20260607,10,300,0.9907140535656249,0.5297439717179353,0.6066491844081959,0.384064869157429,0.4609700818476896,0.05176924727857113,0.0010732347145676613,3.577449048558871,500,0.98
cuantico,madelon,qfs_oracle,xgboost,1,10,300,0.9892855776221636,0.5330012453300124,0.5866482954797991,0.4026372821423645,0.45628433229215126,0.04043712839484215,0.0010973690077662468,3.6578966925541563,500,0.98
cuantico,madelon,qfs_oracle,xgboost,7,10,300,0.992857084547629,0.5196584237680129,0.5898860794665185,0.4029710050811105,0.47319866077961614,0.05285954009741545,0.0010982565581798553,3.6608551939328513,500,0.98
cuantico,madelon,qfs_oracle,xgboost,13,10,300,0.9899999183666806,0.5265825035561877,0.5899954443938267,0.4000044739728539,0.4634174148104928,0.04026367235928774,0.0011014221236109734,3.6714070787032447,500,0.98
cuantico,madelon,qfs_oracle,xgboost,21,10,300,0.99214275692292,0.5281071854884593,0.6029760117439029,0.38916674517901706,0.4640355714344607,0.03979903273284435,0.0010937079787254333,3.6456932624181113,500,0.98
cuantico,madelon,qfs_oracle,xgboost,34,10,300,0.9878568392781248,0.5093403353397346,0.6065967283072546,0.3812601109708702,0.4785165039383903,0.03957181703299284,0.0010975459590554237,3.658486530184746,500,0.98
cuantico,madelon,qfs_oracle,xgboost,55,10,300,0.987856641014246,0.5221386800334169,0.5732574679943101,0.4145991730199359,0.46571796098082907,0.03932229895144701,0.001088850200176239,3.62950066725413,500,0.98
cuantico,madelon,qfs_oracle,xgboost,89,10,300,0.9957142857142857,0.5291157840834456,0.5898860794665185,0.40582820624776716,0.46659850163084005,0.040434930473566055,0.0011089872568845749,3.6966241896152496,500,0.98
cuantico,madelon,qfs_oracle,xgboost,144,10,300,0.9942857142857143,0.553015477673012,0.5696126513862476,0.4246730628994667,0.44127023661270237,0.039975049905478954,0.001088140532374382,3.6271351079146066,500,0.98
cuantico,madelon,qfs_oracle,xgboost,233,10,300,0.9878570870988694,0.5764360596324666,0.5865931721194879,0.4012639149793815,0.41142102746640286,0.03887642081826925,0.001096951775252819,3.656505917509397,500,0.98
cuantico,olive_oil_3class,qfs_na,logistic_regression,20260607,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.00665107648819685,0.0005288738757371902,6.149696229502212,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,1,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.0023834416642785072,0.0005312711000442505,6.177570930747098,8,0.375
